 ,2018-10-01,2018-10-02,2018-10-03,2018-10-04,2018-10-05,2018-10-06,2018-10-07,2018-10-08,2018-10-09,2018-10-10,2018-10-11,2018-10-12,2018-10-13,2018-10-14,2018-10-15,2018-10-16,2018-10-17,2018-10-18,2018-10-19,2018-10-20,2018-10-21,2018-10-22,2018-10-23,2018-10-24,2018-10-25,2018-10-26,2018-10-27,2018-10-28,2018-10-29,2018-10-30
aws-codestar-us-east-1-487312177614-supportbot-inte-app,13132.0,13132.0,13132.0,13132.0,13132.0,13132.0,13132.0,13132.0,13132.0,13132.0,13132.0,13132.0,13132.0,13132.0,13132.0,13132.0,13132.0,13132.0,13132.0,13132.0,13132.0,13132.0,13132.0,13132.0,13132.0,13132.0,13132.0,13132.0,13132.0,13132.0
aws-python-dev-serverlessdeploymentbucket-ebhckvga961c,70607.0,87067.0,87067.0,87067.0,87067.0,87067.0,87067.0,87067.0,87067.0,106674.0,106674.0,106674.0,106674.0,106674.0,106674.0,106674.0,106674.0,106674.0,106674.0,106674.0,106674.0,106674.0,106674.0,106674.0,106674.0,106674.0,106674.0,106674.0,106674.0,106674.0
aws-go-dep-dev-serverlessdeploymentbucket-1jvwgsui1bn7y,15380699.0,15380699.0,15380699.0,15380699.0,15380699.0,15380699.0,15380699.0,15380699.0,15380699.0,15380699.0,15380699.0,15380699.0,15380699.0,15380699.0,15380699.0,15380699.0,15380699.0,15380699.0,15380699.0,15380699.0,15380699.0,15380699.0,15380699.0,15380699.0,15380699.0,15380699.0,15380699.0,15380699.0,15380699.0,15380699.0
billing-chime-demo-dev-serverlessdeploymentbucket-1diz8q35bl1wj,20112176.0,20112176.0,20112176.0,20112176.0,20112176.0,20112176.0,20112176.0,20112176.0,20112176.0,20112176.0,20112176.0,20112176.0,20112176.0,20112176.0,20112176.0,20112176.0,20112176.0,20112176.0,20112176.0,20112176.0,20112176.0,20112176.0,20112176.0,20112176.0,20112176.0,20112176.0,20112176.0,20112176.0,20112176.0,20112176.0
cloud9-487312177614-sam-deployments-us-east-1,53907.0,53907.0,53907.0,53907.0,53907.0,53907.0,53907.0,53907.0,53907.0,53907.0,53907.0,53907.0,53907.0,53907.0,53907.0,53907.0,53907.0,53907.0,53907.0,53907.0,53907.0,53907.0,53907.0,53907.0,53907.0,53907.0,53907.0,53907.0,53907.0,53907.0
codepipelineapproval-dev-serverlessdeploymentbuck-w8mt1vkr3t5l,35360.0,35360.0,35360.0,35360.0,35360.0,35360.0,35360.0,35360.0,35360.0,35360.0,35360.0,35360.0,35360.0,35360.0,35360.0,35360.0,35360.0,35360.0,35360.0,35360.0,35360.0,35360.0,35360.0,35360.0,35360.0,35360.0,35360.0,35360.0,35360.0,35360.0
lambda-timestamp,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0
config-bucket-487312177614,269215.0,269215.0,319660.0,332044.0,336513.0,338645.0,342037.0,345512.0,348904.0,359691.0,370296.0,374745.0,376757.0,383861.0,387316.0,392919.0,399899.0,407042.0,417675.0,419730.0,424391.0,432194.0,443123.0,459497.0,473702.0,475952.0,489854.0,493389.0,501261.0,505976.0
chlmes.pipeline,38974059.0,38974059.0,38974059.0,38974059.0,38974059.0,38974059.0,38974059.0,38974059.0,38974059.0,38974059.0,38974059.0,38974059.0,38974059.0,38974059.0,38974059.0,38974059.0,38974059.0,38974059.0,38974059.0,38974059.0,38974059.0,38974059.0,38974059.0,38974059.0,38974059.0,38974059.0,38974059.0,38974059.0,38974059.0,38974059.0
aws-go-dev-serverlessdeploymentbucket-l9ymw08xytbf,5646763.0,5646763.0,5646763.0,5646763.0,5646763.0,5646763.0,14434347.0,14434347.0,14434347.0,14434347.0,14434347.0,14434347.0,14434347.0,14434347.0,14434347.0,14434347.0,14434347.0,14434347.0,14434347.0,14434347.0,14434347.0
